Category,ID,Code_Original,Emoji_Code_2nd_Option,Emoji_Name,Emoji_Code_CASI,Emoji_Code_FINAL,Feeling
body-parts,216,U+1F9B7,U0001F9B7,tooth,\\\\U0001F9B7\\,\'\\U0001f9b7\,Neutral
body-parts,217,U+1F9B4,U0001F9B4,bone,\\\\U0001F9B4\\,\'\\U0001f9b4\,Neutral
body-parts,218,U+1F440,U0001F440,eyes,\\\\U0001F440\\,\'\\U0001f440\,Neutral
body-parts,219,U+1F441,U0001F441,eye,\\\\U0001F441\\,\'\\U0001f441\,Neutral
body-parts,220,U+1F445,U0001F445,tongue,\\\\U0001F445\\,\'\\U0001f445\,Neutral
body-parts,221,U+1F444,U0001F444,mouth,\\\\U0001F444\\,\'\\U0001f444\,Neutral
body-parts,222,U+1FAE6,U0001FAE6,biting_lip,\\\\U0001FAE6\\,\'\\U0001fae6\,Neutral
person,223,U+1F476,U0001F476,baby,\\\\U0001F476\\,\'\\U0001f476\,Neutral
person,224,U+1F9D2,U0001F9D2,child,\\\\U0001F9D2\\,\'\\U0001f9d2\,Neutral
person,225,U+1F466,U0001F466,boy,\\\\U0001F466\\,\'\\U0001f466\,Neutral
person,226,U+1F467,U0001F467,girl,\\\\U0001F467\\,\'\\U0001f467\,Neutral
person,227,U+1F9D1,U0001F9D1,person,\\\\U0001F9D1\\,\'\\U0001f9d1\,Neutral
person,228,U+1F471,U0001F471,person:_blond_hair,\\\\U0001F471\\,\'\\U0001f471\,Neutral
person,229,U+1F468,U0001F468,man,\\\\U0001F468\\,\'\\U0001f468\,Neutral
person,230,U+1F9D4,U0001F9D4,person:_beard,\\\\U0001F9D4\\,\'\\U0001f9d4\,Neutral
person,231,U+1F9D4 U+200D U+2642 U+FE0F,U0001F9D4 U000200D U0002642 U000FE0F,man:_beard,\\\\U0001F9D4 \U000200D \U0002642 \U000FE0F\\,\'\\U0001f9d4 \U000200d \U0002642 \U000fe0f\,Neutral
person,232,U+1F9D4 U+200D U+2640 U+FE0F,U0001F9D4 U000200D U0002640 U000FE0F,woman:_beard,\\\\U0001F9D4 \U000200D \U0002640 \U000FE0F\\,\'\\U0001f9d4 \U000200d \U0002640 \U000fe0f\,Neutral
person,233,U+1F468 U+200D U+1F9B0,U0001F468 U000200D U0001F9B0,man:_red_hair,\\\\U0001F468 \U000200D \U0001F9B0\\,\'\\U0001f468 \U000200d \U0001f9b0\,Neutral
person,234,U+1F468 U+200D U+1F9B1,U0001F468 U000200D U0001F9B1,man:_curly_hair,\\\\U0001F468 \U000200D \U0001F9B1\\,\'\\U0001f468 \U000200d \U0001f9b1\,Neutral
person,235,U+1F468 U+200D U+1F9B3,U0001F468 U000200D U0001F9B3,man:_white_hair,\\\\U0001F468 \U000200D \U0001F9B3\\,\'\\U0001f468 \U000200d \U0001f9b3\,Neutral
person,236,U+1F468 U+200D U+1F9B2,U0001F468 U000200D U0001F9B2,man:_bald,\\\\U0001F468 \U000200D \U0001F9B2\\,\'\\U0001f468 \U000200d \U0001f9b2\,Neutral
person,237,U+1F469,U0001F469,woman,\\\\U0001F469\\,\'\\U0001f469\,Neutral
person,238,U+1F469 U+200D U+1F9B0,U0001F469 U000200D U0001F9B0,woman:_red_hair,\\\\U0001F469 \U000200D \U0001F9B0\\,\'\\U0001f469 \U000200d \U0001f9b0\,Neutral
person,239,U+1F9D1 U+200D U+1F9B0,U0001F9D1 U000200D U0001F9B0,person:_red_hair,\\\\U0001F9D1 \U000200D \U0001F9B0\\,\'\\U0001f9d1 \U000200d \U0001f9b0\,Neutral
person,240,U+1F469 U+200D U+1F9B1,U0001F469 U000200D U0001F9B1,woman:_curly_hair,\\\\U0001F469 \U000200D \U0001F9B1\\,\'\\U0001f469 \U000200d \U0001f9b1\,Neutral
person,241,U+1F9D1 U+200D U+1F9B1,U0001F9D1 U000200D U0001F9B1,person:_curly_hair,\\\\U0001F9D1 \U000200D \U0001F9B1\\,\'\\U0001f9d1 \U000200d \U0001f9b1\,Neutral
person,242,U+1F469 U+200D U+1F9B3,U0001F469 U000200D U0001F9B3,woman:_white_hair,\\\\U0001F469 \U000200D \U0001F9B3\\,\'\\U0001f469 \U000200d \U0001f9b3\,Neutral
person,243,U+1F9D1 U+200D U+1F9B3,U0001F9D1 U000200D U0001F9B3,person:_white_hair,\\\\U0001F9D1 \U000200D \U0001F9B3\\,\'\\U0001f9d1 \U000200d \U0001f9b3\,Neutral
person,244,U+1F469 U+200D U+1F9B2,U0001F469 U000200D U0001F9B2,woman:_bald,\\\\U0001F469 \U000200D \U0001F9B2\\,\'\\U0001f469 \U000200d \U0001f9b2\,Neutral
person,245,U+1F9D1 U+200D U+1F9B2,U0001F9D1 U000200D U0001F9B2,person:_bald,\\\\U0001F9D1 \U000200D \U0001F9B2\\,\'\\U0001f9d1 \U000200d \U0001f9b2\,Neutral
person,246,U+1F471 U+200D U+2640 U+FE0F,U0001F471 U000200D U0002640 U000FE0F,woman:_blond_hair,\\\\U0001F471 \U000200D \U0002640 \U000FE0F\\,\'\\U0001f471 \U000200d \U0002640 \U000fe0f\,Neutral
person,247,U+1F471 U+200D U+2642 U+FE0F,U0001F471 U000200D U0002642 U000FE0F,man:_blond_hair,\\\\U0001F471 \U000200D \U0002642 \U000FE0F\\,\'\\U0001f471 \U000200d \U0002642 \U000fe0f\,Neutral
person,248,U+1F9D3,U0001F9D3,older_person,\\\\U0001F9D3\\,\'\\U0001f9d3\,Neutral
person,249,U+1F474,U0001F474,old_man,\\\\U0001F474\\,\'\\U0001f474\,Neutral
person,250,U+1F475,U0001F475,old_woman,\\\\U0001F475\\,\'\\U0001f475\,Neutral
person-gesture,251,U+1F64D,U0001F64D,person_frowning,\\\\U0001F64D\\,\'\\U0001f64d\,Neutral
person-gesture,252,U+1F64D U+200D U+2642 U+FE0F,U0001F64D U000200D U0002642 U000FE0F,man_frowning,\\\\U0001F64D \U000200D \U0002642 \U000FE0F\\,\'\\U0001f64d \U000200d \U0002642 \U000fe0f\,Neutral
person-gesture,253,U+1F64D U+200D U+2640 U+FE0F,U0001F64D U000200D U0002640 U000FE0F,woman_frowning,\\\\U0001F64D \U000200D \U0002640 \U000FE0F\\,\'\\U0001f64d \U000200d \U0002640 \U000fe0f\,Neutral
person-gesture,254,U+1F64E,U0001F64E,person_pouting,\\\\U0001F64E\\,\'\\U0001f64e\,Negative
person-gesture,255,U+1F64E U+200D U+2642 U+FE0F,U0001F64E U000200D U0002642 U000FE0F,man_pouting,\\\\U0001F64E \U000200D \U0002642 \U000FE0F\\,\'\\U0001f64e \U000200d \U0002642 \U000fe0f\,Negative
person-gesture,256,U+1F64E U+200D U+2640 U+FE0F,U0001F64E U000200D U0002640 U000FE0F,woman_pouting,\\\\U0001F64E \U000200D \U0002640 \U000FE0F\\,\'\\U0001f64e \U000200d \U0002640 \U000fe0f\,Negative
person-gesture,257,U+1F645,U0001F645,person_gesturing_NO,\\\\U0001F645\\,\'\\U0001f645\,Negative
person-gesture,258,U+1F645 U+200D U+2642 U+FE0F,U0001F645 U000200D U0002642 U000FE0F,man_gesturing_NO,\\\\U0001F645 \U000200D \U0002642 \U000FE0F\\,\'\\U0001f645 \U000200d \U0002642 \U000fe0f\,Negative
person-gesture,259,U+1F645 U+200D U+2640 U+FE0F,U0001F645 U000200D U0002640 U000FE0F,woman_gesturing_NO,\\\\U0001F645 \U000200D \U0002640 \U000FE0F\\,\'\\U0001f645 \U000200d \U0002640 \U000fe0f\,Negative
